Disease	Atrial fibrillation	Rank_Atrial fibrillation
NA18757	10.4041	0.9772
NA18853	1.021	0.2292
NA18856	2.7164	0.7057
NA18858	1.4335	0.4117
NA18861	0.9785	0.2045
NA18864	1.3602	0.3782
NA18865	0.4762	0.0044
NA18867	1.0355	0.2372
NA18868	2.0017	0.5751
NA18870	0.713	0.0671
NA18871	1.4072	0.4002
NA18873	1.0611	0.2484
NA18874	1.0969	0.266
NA18876	4.4817	0.8634
NA18877	1.0176	0.2272
NA18878	0.9788	0.2049
NA18879	1.5094	0.4389
NA18881	2.0413	0.5835
NA18907	0.7855	0.1022
NA18908	0.7628	0.0915
NA18909	0.7541	0.0863
NA18910	1.7044	0.4972
NA18912	0.8377	0.1318
NA18915	0.7978	0.1094
NA18916	0.8965	0.1689
NA18917	1.7755	0.5224
NA18923	4.5553	0.8686
NA18924	1.3957	0.3926
NA18933	2.5221	0.6809
NA18934	1.1645	0.2995
NA18939	2.791	0.7188
NA18940	3.9255	0.8335
NA18941	2.3127	0.6414
NA18942	4.5096	0.8646
NA18943	6.3477	0.9337
NA18944	3.1265	0.766
NA18945	0.8242	0.1222
NA18946	1.1761	0.3027
NA18947	3.8787	0.8295
NA18948	6.4799	0.9365
NA18949	8.1899	0.9609
NA18950	4.1128	0.8427
NA18951	10.3253	0.9768
NA18952	0.7049	0.0639
NA18953	5.3629	0.901
NA18954	5.6254	0.9113
NA18956	2.2817	0.6338
NA18957	2.5979	0.6905
NA18959	3.913	0.8323
NA18960	1.0318	0.2352
NA18961	5.0138	0.8906
NA18962	2.7294	0.7089
NA18963	3.2378	0.7804
NA18964	2.241	0.6234
NA18965	2.3434	0.6506
NA18966	8.302	0.9621
NA18967	3.4896	0.8027
NA18968	2.4266	0.6641
NA18969	1.3989	0.3966
NA18970	0.6162	0.0347
NA18971	1.9828	0.5715
NA18972	3.2947	0.7875
NA18973	0.4924	0.0064
NA18974	5.3876	0.9022
NA18975	1.4662	0.4225
NA18976	4.5132	0.8654
NA18977	3.0416	0.7512
NA18978	3.2139	0.776
NA18979	0.901	0.1697
NA18980	1.3697	0.3822
NA18981	2.8289	0.7232
NA18982	1.653	0.4812
NA18983	1.6423	0.4784
NA18984	2.9778	0.7412
NA18985	7.1915	0.9469
NA18986	3.4858	0.8023
NA18987	3.29	0.7867
NA18988	2.8337	0.7244
NA18989	4.8827	0.8846
NA18990	1.4978	0.4333
NA18991	2.7829	0.7165
NA18992	2.0649	0.5899
NA18993	2.7857	0.7169
NA18994	2.499	0.6757
NA18995	9.2424	0.9692
NA18997	4.6955	0.8758
NA18998	1.6172	0.4704
NA18999	1.2196	0.3239
NA19000	3.0462	0.7524
NA19001	1.4233	0.4081
NA19002	4.7077	0.8762
NA19003	1.9705	0.5675
NA19004	6.1706	0.9297
NA19005	5.4625	0.905
NA19006	3.6074	0.8123
NA19007	3.9013	0.8311
NA19009	4.6945	0.8754
NA19010	2.2764	0.6322
NA19011	2.0489	0.5855
NA19012	3.3108	0.7891
NA19017	1.1513	0.2927
NA19019	2.2122	0.6182
NA19020	1.7045	0.4976
NA19023	1.3964	0.393
NA19024	2.5003	0.6761
NA19025	0.8463	0.1362
NA19026	0.8617	0.1486
NA19027	0.5193	0.0096
NA19028	1.7524	0.5144
NA19030	0.5265	0.0108
NA19031	0.8722	0.1558
NA19035	1.3378	0.3718
NA19036	0.841	0.1338
NA19037	0.5058	0.008
NA19038	1.2959	0.3518
NA19041	1.0926	0.264
NA19042	0.988	0.2101
NA19043	1.4273	0.4101
NA19054	5.6215	0.9105
NA19055	3.6346	0.8147
NA19056	4.3215	0.8542
NA19057	3.2401	0.7808
NA19058	2.0009	0.5747
NA19059	1.6655	0.486
NA19060	1.3784	0.387
NA19062	2.3129	0.6418
NA19063	1.6878	0.4932
NA19064	3.4754	0.8015
NA19065	2.7799	0.7161
NA19066	3.1766	0.7728
NA19067	6.2858	0.9321
NA19068	3.2776	0.7855
NA19070	4.0613	0.8387
NA19072	3.3341	0.7907
NA19074	4.1525	0.845
NA19075	1.9796	0.5707
NA19076	3.0762	0.7568
NA19077	2.1832	0.6106
NA19078	3.2466	0.7819
NA19079	2.2596	0.6278
NA19080	1.8787	0.5463
NA19081	0.7172	0.0703
NA19082	4.524	0.8666
NA19083	7.1585	0.9461
NA19084	3.3821	0.7951
NA19085	5.7968	0.9153
NA19086	3.4549	0.8003
NA19087	0.5189	0.0092
NA19088	1.2701	0.3431
NA19089	1.1712	0.3011
NA19090	1.902	0.5527
NA19091	1.7085	0.4992
NA19092	0.8527	0.1414
NA19093	0.9429	0.1897
NA19095	1.2682	0.3427
NA19096	1.0978	0.2668
NA19098	0.7357	0.0807
NA19099	1.0768	0.2544
NA19102	0.5685	0.0184
NA19107	0.7885	0.1034
NA19108	0.7841	0.1014
NA19113	0.8422	0.135
NA19114	0.578	0.02
NA19116	2.0043	0.5755
NA19117	2.1278	0.6014
NA19118	0.9053	0.1725
NA19119	0.9609	0.1977
NA19121	0.7614	0.0903
NA19129	0.8707	0.1554
NA19130	2.3453	0.6514
NA19131	1.3971	0.395
NA19137	0.6198	0.0367
NA19138	5.3511	0.8994
NA19141	1.0177	0.2276
NA19143	2.3915	0.6593
NA19144	0.6334	0.0427
NA19146	0.4892	0.0056
NA19147	2.1291	0.6018
NA19149	0.8418	0.1346
NA19152	0.9303	0.1833
NA19153	1.0702	0.2504
NA19159	0.6823	0.0571
NA19160	0.694	0.0603
NA19171	1.56	0.4549
NA19172	1.0874	0.262
NA19175	1.6398	0.4776
NA19184	2.2991	0.6386
NA19185	1.0717	0.2512
NA19189	0.9804	0.2053
NA19190	1.0188	0.228
NA19197	0.7101	0.0655
NA19198	3.6215	0.8127
NA19200	0.6641	0.0527
NA19201	1.294	0.351
NA19204	0.8215	0.1214
NA19206	2.6443	0.6969
NA19207	2.2439	0.6246
NA19209	1.3416	0.3738
NA19210	1.7846	0.5244
NA19213	0.9966	0.2157
NA19214	0.6131	0.0335
NA19222	1.6857	0.4924
NA19223	0.8289	0.125
NA19225	1.0498	0.2432
NA19235	1.6547	0.4816
NA19236	1.0008	0.2177
NA19238	1.0241	0.2316
NA19239	1.3762	0.385
NA19247	1.7346	0.5104
NA19248	1.2504	0.3371
NA19256	0.7769	0.0974
NA19257	2.6438	0.6961
NA19307	1.0248	0.232
NA19308	1.4044	0.3978
NA19309	0.7315	0.0779
NA19310	0.7589	0.0891
NA19312	3.1384	0.7672
NA19314	1.1513	0.2927
NA19315	0.6343	0.0435
NA19316	0.8105	0.1146
NA19317	1.8865	0.5487
NA19318	0.742	0.0823
NA19319	0.603	0.0296
NA19320	1.0614	0.2488
NA19321	1.3968	0.3942
NA19323	2.7782	0.7157
NA19324	1.7943	0.5268
NA19327	0.6263	0.0411
NA19328	0.9635	0.1985
NA19331	0.7079	0.0647
NA19332	1.3084	0.3566
NA19334	1.6075	0.4661
NA19338	0.6849	0.0579
NA19346	1.9443	0.5611
NA19347	1.9505	0.5623
NA19350	0.6744	0.0547
NA19351	1.0207	0.2288
NA19355	0.5826	0.0232
NA19360	1.4185	0.405
NA19372	1.0318	0.2352
NA19374	0.5305	0.0116
NA19375	0.609	0.0308
NA19376	0.9878	0.2097
NA19377	1.9542	0.5631
NA19378	0.9078	0.1749
NA19379	0.6226	0.0391
NA19380	0.9266	0.1809
NA19383	1.4226	0.4069
NA19384	0.8527	0.1414
NA19385	1.1577	0.2963
NA19390	0.747	0.0839
NA19391	1.1282	0.2819
NA19393	0.9848	0.2077
NA19394	1.2038	0.3147
NA19395	0.9944	0.2145
NA19397	0.8538	0.143
NA19399	0.7835	0.1006
NA19401	0.8937	0.1673
NA19403	0.7284	0.0759
NA19404	0.549	0.016
NA19428	0.548	0.0156
NA19429	0.545	0.0148
NA19430	0.7017	0.0627
NA19431	0.833	0.1274
NA19434	0.4669	0.0032
NA19435	1.8196	0.5319
NA19436	0.8689	0.1534
NA19437	3.1667	0.77
NA19438	1.1038	0.2692
NA19439	1.5479	0.4513
NA19440	0.4184	0.0016
NA19443	0.6148	0.0343
NA19445	0.7275	0.0747
NA19446	1.0086	0.222
NA19448	1.0823	0.258
NA19449	8.8755	0.9661
NA19451	0.929	0.1821
NA19452	1.1868	0.3075
NA19454	1.9735	0.5691
NA19455	0.8823	0.1613
NA19456	3.3531	0.7927
NA19457	0.605	0.03
NA19461	1.0652	0.2496
NA19462	3.2544	0.7823
NA19463	1.2347	0.3295
NA19466	0.7524	0.0855
NA19467	3.6346	0.8147
NA19468	1.3412	0.3734
NA19471	0.6746	0.0551
NA19472	0.4853	0.0052
NA19473	2.1274	0.6006
NA19474	0.9902	0.2117
NA19475	0.8465	0.1366
NA19625	1.9597	0.5655
NA19648	1.3778	0.3862
NA19649	8.072	0.9593
NA19651	2.2293	0.6214
NA19652	1.2611	0.3395
NA19654	1.5507	0.4529
NA19655	0.923	0.1797
NA19657	3.8559	0.8275
NA19658	2.0123	0.5771
NA19661	9.4839	0.97
NA19663	10.1625	0.9744
NA19664	1.5043	0.4353
NA19669	1.0085	0.2216
NA19670	2.3915	0.6593
NA19676	4.2123	0.847
NA19678	0.9037	0.1717
NA19679	0.8582	0.147
NA19681	6.4592	0.9361
NA19682	3.5562	0.8079
NA19684	0.7772	0.0982
NA19700	0.7751	0.0966
NA19701	2.2819	0.6342
NA19703	3.6962	0.8179
NA19704	2.439	0.6685
NA19707	0.5046	0.0076
NA19711	1.8309	0.5335
NA19712	1.5005	0.4345
NA19713	1.9919	0.5731
NA19716	2.9268	0.7368
NA19717	2.7877	0.7181
NA19719	2.3864	0.6585
NA19720	2.3406	0.6498
NA19722	3.6495	0.8167
NA19723	1.966	0.5659
NA19725	2.9326	0.7372
NA19726	3.8137	0.8255
NA19728	9.7963	0.9724
NA19729	2.9784	0.7416
NA19731	1.5726	0.4593
NA19732	5.0088	0.8902
NA19734	1.7146	0.5004
NA19735	11.1696	0.9812
NA19740	4.7181	0.877
NA19741	0.9999	0.2173
NA19746	10.9168	0.98
NA19747	3.5502	0.8071
NA19749	1.732	0.5092
NA19750	1.0772	0.2556
NA19752	0.7163	0.0691
NA19755	4.4092	0.8578
NA19756	3.758	0.8207
NA19758	8.5523	0.9653
NA19759	8.3428	0.9629
NA19761	9.8779	0.9728
NA19762	3.8409	0.8263
NA19764	1.6453	0.4792
NA19770	3.105	0.7616
NA19771	1.1093	0.2716
NA19773	3.0126	0.746
NA19774	5.9026	0.9209
NA19776	5.3217	0.8986
NA19777	1.5814	0.4621
NA19779	0.7343	0.0799
NA19780	7.7741	0.9545
NA19782	3.2313	0.7792
NA19783	1.7194	0.504
NA19785	14.5982	0.992
NA19786	2.8766	0.73
NA19788	2.4356	0.6677
NA19789	1.0509	0.2444
NA19792	1.808	0.5296
NA19794	0.9865	0.2081
NA19795	1.5047	0.4361
NA19818	0.8642	0.1498
NA19819	2.8005	0.7208
NA19834	1.1781	0.3039
NA19835	0.9404	0.1881
NA19900	1.1107	0.2728
NA19901	0.8081	0.1134
NA19904	0.7149	0.0683
NA19908	0.9384	0.1873
NA19909	0.7848	0.1018
NA19913	0.6358	0.0443
NA19914	3.0802	0.7588
NA19916	0.5837	0.0248
NA19917	0.6789	0.0563
NA19920	0.7621	0.0911
NA19921	1.2106	0.3195
NA19922	0.9326	0.1845
NA19923	0.827	0.1242
NA19982	1.1691	0.3007
NA19984	1.6606	0.4844
NA20126	2.3007	0.6394
NA20127	1.4649	0.4213
NA20274	3.8752	0.8291
NA20276	1.6389	0.4772
NA20278	2.6101	0.6921
NA20281	0.6594	0.0507
NA20282	0.7596	0.0895
NA20287	0.7067	0.0643
NA20289	1.1174	0.2764
NA20291	0.5669	0.018
NA20294	0.8	0.1106
NA20296	0.9272	0.1817
NA20298	2.2614	0.6282
NA20299	1.385	0.3898
NA20314	3.0368	0.75
NA20317	0.6094	0.0315
NA20318	0.819	0.1202
NA20320	1.1002	0.2676
NA20321	0.7133	0.0675
NA20332	1.4298	0.4109
NA20334	1.1795	0.3043
NA20339	1.9315	0.5587
NA20340	1.3388	0.3722
NA20342	5.3575	0.9006
NA20346	0.9762	0.2029
NA20348	1.2188	0.3231
NA20351	1.2604	0.3391
NA20355	1.2638	0.3415
NA20356	0.6475	0.0471
NA20357	2.4325	0.6661
NA20359	1.4057	0.3994
NA20362	0.5805	0.0216
NA20412	3.1607	0.7692
NA20502	1.9792	0.5703
NA20503	3.2661	0.7843
NA20504	2.1628	0.6066
NA20505	3.6234	0.8131
NA20506	0.856	0.145
NA20507	2.1806	0.6094
NA20508	2.7663	0.7145
NA20509	0.6615	0.0519
NA20510	0.9506	0.1945
NA20511	1.2497	0.3363
NA20512	2.3331	0.647
NA20513	2.0546	0.5871
NA20514	1.5726	0.4593
NA20515	1.1904	0.3087
NA20516	1.68	0.4916
NA20517	1.4075	0.4006
NA20518	0.4967	0.0068
NA20519	1.77	0.5196
NA20520	3.0477	0.7528
NA20521	1.3053	0.355
NA20522	6.0412	0.9253
NA20524	2.618	0.6933
NA20525	2.4719	0.6733
NA20527	0.7709	0.0954
NA20528	3.0292	0.7488
NA20529	3.3471	0.7919
NA20530	1.2416	0.3327
NA20531	4.6571	0.873
NA20532	0.9431	0.1901
NA20533	1.4451	0.4145
NA20534	1.8707	0.5427
NA20535	1.4754	0.4253
NA20536	1.2057	0.3159
NA20538	1.1424	0.2895
NA20539	0.8269	0.1234
NA20540	6.0964	0.9269
NA20541	1.4079	0.401
NA20542	2.1231	0.599
NA20543	1.1034	0.2684
NA20544	3.0953	0.76
NA20581	1.8159	0.5312
NA20582	3.2136	0.7756
NA20585	1.781	0.5232
NA20586	2.5528	0.6845
NA20587	1.1215	0.2796
NA20588	1.0809	0.256
NA20589	5.6215	0.9105
NA20752	0.7169	0.0699
NA20753	2.0778	0.5927
NA20754	2.4181	0.6617
NA20755	1.3139	0.3594
NA20756	1.5116	0.4401
NA20757	2.2958	0.637
NA20758	0.8188	0.1198
NA20759	1.3501	0.3758
NA20760	0.9922	0.2133
NA20761	1.6109	0.4677
NA20762	1.367	0.3802
NA20763	1.3288	0.3678
NA20764	1.694	0.4936
NA20765	3.2313	0.7792
NA20766	3.3291	0.7899
NA20767	0.5829	0.024
NA20768	13.8627	0.99
NA20769	0.8024	0.1114
NA20770	1.1124	0.2736
NA20771	2.1626	0.6062
NA20772	0.9731	0.2013
NA20773	4.14	0.8442
NA20774	1.875	0.5447
NA20775	4.1841	0.8462
NA20778	1.3771	0.3854
NA20783	0.9148	0.1781
NA20785	0.7163	0.0691
NA20786	1.3864	0.3906
NA20787	2.035	0.5811
NA20790	0.6334	0.0427
NA20792	1.0348	0.2368
NA20795	1.9196	0.5563
NA20796	0.9779	0.2041
NA20797	1.1776	0.3035
NA20798	0.8665	0.1522
NA20799	3.123	0.7652
NA20800	1.8857	0.5483
NA20801	1.8391	0.5355
NA20802	3.2596	0.7831
NA20803	0.8487	0.139
NA20804	1.7997	0.5276
NA20805	1.4144	0.4026
NA20806	2.4774	0.6741
NA20807	0.7899	0.1038
NA20808	1.9474	0.5619
NA20809	1.0907	0.2632
NA20810	3.3475	0.7923
NA20811	1.2326	0.3279
NA20812	2.5113	0.6785
NA20813	1.31	0.3574
NA20814	2.4808	0.6749
NA20815	1.1593	0.2971
NA20818	0.8537	0.1426
NA20819	1.1284	0.2823
NA20821	2.7341	0.7093
NA20822	1.8986	0.5515
NA20826	1.2997	0.3526
NA20827	2.2403	0.623
NA20828	1.8417	0.5371
NA20832	3.0885	0.7596
NA20845	0.8956	0.1681
NA20846	2.507	0.6781
NA20847	1.0561	0.2468
NA20849	1.2712	0.3438
NA20850	1.1387	0.2883
NA20851	0.8737	0.1565
NA20852	1.7542	0.5148
NA20853	0.8576	0.1458
NA20854	2.7434	0.7101
NA20856	1.7054	0.498
NA20858	4.4207	0.8582
NA20859	1.0912	0.2636
NA20861	0.6594	0.0507
NA20862	1.2933	0.3506
NA20863	2.1172	0.5982
NA20864	0.5692	0.0188
NA20866	1.8391	0.5355
NA20867	1.0064	0.2208
NA20868	1.3274	0.367
NA20869	0.7907	0.1042
NA20870	5.0405	0.8918
NA20872	1.3128	0.3586
NA20874	1.4553	0.4185
NA20875	2.0442	0.5847
NA20876	1.0025	0.2185
NA20877	2.8792	0.7304
NA20878	2.2968	0.6374
NA20881	0.7343	0.0799
NA20882	3.1973	0.7744
NA20884	0.8371	0.131
NA20885	5.2013	0.8958
NA20886	6.6599	0.9389
NA20887	2.8044	0.722
NA20888	2.4789	0.6745
NA20889	3.859	0.8279
NA20890	4.6039	0.8706
NA20891	7.9821	0.9581
NA20892	1.7868	0.5248
NA20894	0.9891	0.2109
NA20895	1.7213	0.5056
NA20896	0.6238	0.0399
NA20897	1.4986	0.4337
NA20899	1.5426	0.4485
NA20900	7.0611	0.9453
NA20901	1.4152	0.4034
NA20902	1.531	0.4469
NA20903	5.5801	0.9093
NA20904	15.6036	0.9952
NA20905	1.5737	0.4601
NA20906	5.4298	0.9034
NA20908	0.8112	0.115
NA20910	1.4885	0.4309
NA20911	0.8395	0.133
NA21086	1.334	0.3702
NA21087	1.9022	0.5531
NA21088	1.5502	0.4525
NA21089	0.7249	0.0735
NA21090	1.4702	0.4237
NA21091	1.7927	0.526
NA21092	2.5664	0.6861
NA21093	0.7043	0.0631
NA21094	1.9933	0.5735
NA21095	2.3108	0.641
NA21097	3.6042	0.8119
NA21098	1.6479	0.4796
NA21099	0.8693	0.1538
NA21100	0.9869	0.2085
NA21101	1.2236	0.3263
NA21102	1.8731	0.5435
NA21103	1.0131	0.2236
NA21104	1.8532	0.5387
NA21105	0.6973	0.0607
NA21106	0.7582	0.0887
NA21107	1.2447	0.3351
NA21108	0.4317	0.0024
NA21109	1.4521	0.4177
NA21110	1.597	0.4653
NA21111	1.1204	0.278
NA21112	1.0366	0.238
NA21113	2.0407	0.5831
NA21114	1.2123	0.3215
NA21115	2.8013	0.7216
NA21116	0.6499	0.0483
NA21117	1.2103	0.3187
NA21118	4.3301	0.8546
NA21119	0.8653	0.151
NA21120	2.1149	0.5978
NA21122	0.7687	0.0942
NA21123	2.2984	0.6382
NA21124	1.4288	0.4105
NA21125	2.3733	0.6562
NA21126	0.7282	0.0751
NA21127	0.8744	0.1569
NA21128	5.2488	0.897
NA21129	5.8165	0.9169
NA21130	1.4829	0.4273
NA21133	2.593	0.6889
NA21135	1.8395	0.5363
NA21137	5.9091	0.9213
NA21141	1.4872	0.4297
NA21142	2.9877	0.7428
NA21143	0.8094	0.1138
NA21144	0.9423	0.1893
