Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG00740	1.5877	0.4633
HG00742	1.9408	0.5607
HG00743	3.8489	0.8271
HG00759	5.3138	0.8982
HG00766	6.2301	0.9309
HG00844	2.3164	0.6426
HG00851	7.6714	0.9525
HG00864	3.3298	0.7903
HG00867	4.2584	0.8506
HG00879	4.3987	0.8566
HG00881	9.0313	0.9677
HG00956	1.7158	0.502
HG00978	3.4028	0.7963
HG00982	4.6693	0.8734
HG01028	1.8449	0.5379
HG01029	2.0377	0.5819
HG01031	4.0008	0.8363
HG01046	1.9334	0.5591
HG01047	3.1293	0.7668
HG01048	2.7289	0.7085
HG01049	1.306	0.3554
HG01051	1.6653	0.4856
HG01052	1.4343	0.4121
HG01054	1.1481	0.2907
HG01055	1.5646	0.4569
HG01058	5.5667	0.9089
HG01060	0.8416	0.1342
HG01061	0.677	0.0555
HG01063	0.5951	0.0288
HG01064	1.2576	0.3387
HG01066	1.4483	0.4153
HG01067	1.1154	0.2756
HG01069	1.502	0.4349
HG01070	3.5092	0.8047
HG01072	1.8669	0.5419
HG01073	1.1381	0.2879
HG01075	1.513	0.4405
HG01077	1.8737	0.5443
HG01079	0.9462	0.1921
HG01080	1.8371	0.5347
HG01082	1.1057	0.2704
HG01083	0.7687	0.0942
HG01085	2.1808	0.6098
HG01086	1.0231	0.2308
HG01088	4.6749	0.8738
HG01089	2.5615	0.6857
HG01092	1.0535	0.2456
HG01094	0.8256	0.1226
HG01095	3.2446	0.7815
HG01097	3.0969	0.7608
HG01098	2.1419	0.605
HG01101	1.7711	0.5204
HG01102	2.2414	0.6238
HG01104	1.2106	0.3195
HG01105	2.408	0.6605
HG01107	0.5859	0.0256
HG01108	1.449	0.4161
HG01110	3.0012	0.7448
HG01111	0.8701	0.1546
HG01112	3.5328	0.8063
HG01113	1.3127	0.3582
HG01119	1.638	0.4768
HG01121	1.3102	0.3578
HG01122	2.8832	0.7316
HG01124	1.3139	0.3594
HG01125	6.3098	0.9325
HG01130	1.5471	0.4509
HG01131	1.3298	0.369
HG01133	2.2682	0.629
HG01134	6.2022	0.9305
HG01136	1.5377	0.4477
HG01137	3.9295	0.8343
HG01139	1.8999	0.5519
HG01140	1.7706	0.52
HG01142	8.3612	0.9633
